"celltype","blood.subgroup","mean.male","median.male","sd.male","var.male","mean.female","median.female","sd.female","var.female","wcox.stat","wcox.punadj","ttest.stat","ttest.punadj","wcox.padj.bh","ttest.padj.bh"
"CD8T","other/NOS",0.104,0.079,0.121,0.015,0.122,0.098,0.113,0.013,1046772,"0.000",-4.31392795439951,"1.66e-05","6.05e-24","9.93e-05"
"CD4T","other/NOS",0.183,0.156,0.147,0.022,0.171,0.146,0.131,0.017,1401801,"0.003",2.50821695285359,"1.22e-02","4.79e-03","1.83e-02"
"NK","other/NOS",0.054,0.042,0.059,0.004,0.055,0.047,0.052,0.003,1268727.5,"0.044",-0.292883193114482,"7.70e-01","5.30e-02","7.70e-01"
"Bcell","other/NOS",0.086,0.079,0.054,0.003,0.079,0.071,0.046,0.002,1430982.5,"0.000",4.00714164374839,"6.30e-05","1.10e-04","1.89e-04"
"Mono","other/NOS",0.091,0.086,0.045,0.002,0.086,0.078,0.049,0.002,1438762.5,"0.000",2.59732350238958,"9.44e-03","4.60e-05","1.83e-02"
"Gran","other/NOS",0.502,0.537,0.181,0.033,0.51,0.546,0.172,0.03,1274793,"0.075",-1.24667895137035,"2.13e-01","7.53e-02","2.55e-01"
"CD8T","whole_blood",0.09,0.086,0.055,0.003,0.093,0.091,0.049,0.002,5467685.5,"0.0",-2.84378546386379,"4.47e-03","3.29e-04","5.37e-03"
"CD4T","whole_blood",0.151,0.145,0.062,0.004,0.133,0.124,0.074,0.005,6780278,"0.0",10.8993336198184,"1.96e-27","1.11e-35","2.94e-27"
"NK","whole_blood",0.071,0.063,0.054,0.003,0.056,0.046,0.045,0.002,6722761.5,"0.0",12.390235516728,"8.38e-35","4.72e-32","1.68e-34"
"Bcell","whole_blood",0.076,0.07,0.044,0.002,0.061,0.054,0.039,0.002,7214489,"0.0",14.6974766415598,"4.70e-48","1.21e-70","2.82e-47"
"Mono","whole_blood",0.083,0.081,0.026,0.001,0.083,0.081,0.027,0.001,5694806.5,"0.4",-0.808909239742495,"4.19e-01","4.00e-01","4.19e-01"
"Gran","whole_blood",0.554,0.56,0.112,0.013,0.594,0.599,0.122,0.015,4589947,"0.0",-13.8582388671996,"4.57e-43","7.94e-47","1.37e-42"
"CD8T","cord_blood",0.096,0.089,0.05,0.003,0.103,0.096,0.055,0.003,251423,"0.015",-2.63929848886925,"0.00840","0.029059","0.02135"
"CD4T","cord_blood",0.165,0.14,0.096,0.009,0.148,0.127,0.093,0.009,305056,"0.000",3.47816872131614,"0.00052","0.000227","0.00312"
"NK","cord_blood",0.044,0.03,0.048,0.002,0.05,0.035,0.053,0.003,249920,"0.008",-2.55656362720448,"0.01067","0.024585","0.02135"
"Bcell","cord_blood",0.14,0.131,0.049,0.002,0.136,0.126,0.052,0.003,288612.5,"0.035",1.5644689458217,"0.11793","0.052610","0.17689"
"Mono","cord_blood",0.122,0.115,0.042,0.002,0.121,0.113,0.046,0.002,278876,"0.360",0.17778572157855,"0.85892","0.359723","0.85892"
"Gran","cord_blood",0.469,0.515,0.167,0.028,0.476,0.52,0.174,0.03,260589.5,"0.186",-0.790963367638164,"0.42909","0.223393","0.51491"
"CD8T","PBMC",0.223,0.226,0.093,0.009,0.198,0.202,0.082,0.007,52692.5,"0.001",3.40626915097946,"7.21e-04","0.001929","1.08e-03"
"CD4T","PBMC",0.344,0.359,0.135,0.018,0.345,0.337,0.11,0.012,47976.5,"0.288",-0.0910191942310169,"9.28e-01","0.288343","9.28e-01"
"NK","PBMC",0.121,0.086,0.122,0.015,0.093,0.079,0.083,0.007,48775.5,"0.152",3.09035358092904,"2.16e-03","0.182830","2.59e-03"
"Bcell","PBMC",0.158,0.152,0.064,0.004,0.139,0.135,0.057,0.003,53849,"0.000",3.71360036203041,"2.31e-04","0.000356","4.62e-04"
"Mono","PBMC",0.118,0.099,0.09,0.008,0.15,0.133,0.101,0.01,36885.5,"0.000",-4.02718579769233,"6.48e-05","0.000356","1.94e-04"
"Gran","PBMC",0.05,0.034,0.07,0.005,0.093,0.046,0.145,0.021,37349,"0.000",-4.95187498497163,"9.54e-07","0.000356","5.72e-06"
"CD8T","all",0.1,0.087,0.084,0.007,0.108,0.096,0.078,0.006,817008752,"0",-13.9332877181431," 4.49e-44","3.03e-130"," 5.39e-44"
"CD4T","all",0.17,0.149,0.108,0.012,0.157,0.137,0.108,0.012,999806780,"0",17.5972401281534," 3.48e-69","3.43e-155"," 5.22e-69"
"NK","all",0.065,0.054,0.061,0.004,0.057,0.047,0.052,0.003,953116444,"0",19.3200498474042," 5.86e-83"," 5.47e-42"," 1.17e-82"
"Bcell","all",0.091,0.081,0.055,0.003,0.078,0.066,0.051,0.003,1061703800.5,"0",36.6894407798571,"3.32e-292"," 0.00e+00","1.99e-291"
"Mono","all",0.092,0.086,0.041,0.002,0.092,0.084,0.047,0.002,931602700,"0",0.558053181691005," 5.77e-01"," 3.26e-14"," 5.77e-01"
"Gran","all",0.506,0.541,0.174,0.03,0.53,0.568,0.186,0.034,797124013,"0",-19.4299502778426," 6.62e-84","4.60e-195"," 1.99e-83"
