"","gsm","gse","gsm_title","platform","blood.subgroup","predsex","predage","predcell.CD8T","predcell.CD4T","predcell.NK","predcell.Bcell","predcell.Mono","predcell.Gran","glint.epi.pc1","glint.epi.pc2"
"GSM1051533.1607013450.hlink.GSM1051533_7800246024_R03C02","GSM1051533","GSE42861","Normal genomic DNA from sample 9","hm450k","other/NOS","M",65.884,"0.047","0.111","0.181","0.049","0.027","0.602",-20.320653158765,-4.03957532363811
"GSM1051534.1607013450.hlink.GSM1051534_7800246024_R04C02","GSM1051534","GSE42861","Normal genomic DNA from sample 10","hm450k","other/NOS","M",47.527,"0.076","0.128","0.031","0.034","0.061","0.675",-7.58169825174086,-6.9204288606473
"GSM1051535.1607013450.hlink.GSM1051535_7800246024_R05C02","GSM1051535","GSE42861","Normal genomic DNA from sample 11","hm450k","other/NOS","M",35.988,"0.061","0.1","0.046","0.048","0.058","0.693",-10.1884897719054,-9.14096134788066
"GSM1051536.1607013450.hlink.GSM1051536_7800246024_R06C02","GSM1051536","GSE42861","Normal genomic DNA from sample 12","hm450k","other/NOS","M",55.954,"0.13","0.182","0.073","0.081","0.074","0.498",-26.2937349912798,-7.53686697981003
"GSM1051537.1607013450.hlink.GSM1051537_7800246085_R01C01","GSM1051537","GSE42861","Normal genomic DNA from sample 13","hm450k","other/NOS","M",49.468,"0.069","0.115","0.054","0.049","0.024","0.712",-3.2802459093898,-3.98218851545437
"GSM1051538.1607013450.hlink.GSM1051538_7800246085_R02C01","GSM1051538","GSE42861","Normal genomic DNA from sample 14","hm450k","other/NOS","M",50.916,"0","0.182","0.094","0.013","0.053","0.665",-4.35306913386447,-10.2619970157273
"GSM1051539.1607013450.hlink.GSM1051539_7800246085_R03C01","GSM1051539","GSE42861","Normal genomic DNA from sample 15","hm450k","other/NOS","M",68.512,"0.134","0.085","0.107","0.019","0.06","0.614",-5.5199693250237,4.40202975979548
"GSM1051540.1607013450.hlink.GSM1051540_7800246085_R04C01","GSM1051540","GSE42861","Normal genomic DNA from sample 16","hm450k","other/NOS","M",67.35,"0.039","0.056","0.097","0.028","0.092","0.695",2.25998375885545,-8.81740113982796
"GSM1051541.1607013450.hlink.GSM1051541_7800246085_R05C01","GSM1051541","GSE42861","Normal genomic DNA from sample 17","hm450k","other/NOS","M",64.241,"0.03","0.133","0.147","0.009","0.07","0.629",-10.2321148638551,-3.81733742601627
"GSM1051542.1607013450.hlink.GSM1051542_7800246085_R06C01","GSM1051542","GSE42861","Normal genomic DNA from sample 18","hm450k","other/NOS","M",61.116,"0.083","0.085","0.083","0.056","0.063","0.663",-15.7157224377238,-21.3751393281992
"GSM1051543.1607013450.hlink.GSM1051543_7800246085_R01C02","GSM1051543","GSE42861","Normal genomic DNA from sample 19","hm450k","other/NOS","M",55.714,"0.006","0.154","0.065","0.069","0.101","0.614",-4.22019455711273,-1.6102177427599
"GSM1051544.1607013450.hlink.GSM1051544_7800246085_R02C02","GSM1051544","GSE42861","Normal genomic DNA from sample 20","hm450k","other/NOS","M",58.769,"0.004","0.169","0.056","0.048","0.08","0.649",-3.95062802209623,-7.80503842335986
"GSM1051545.1607013450.hlink.GSM1051545_7800246085_R03C02","GSM1051545","GSE42861","Normal genomic DNA from sample 21","hm450k","other/NOS","M",49.344,"0.026","0.098","0.098","0.031","0.098","0.663",-7.93927140627039,-10.199976813399
"GSM1051549.1607013450.hlink.GSM1051549_7800246087_R01C01","GSM1051549","GSE42861","Normal genomic DNA from sample 25","hm450k","other/NOS","F",48.083,"0.148","0.129","0.106","0.053","0.087","0.501",-2.30022319350728,3.10212991835803
"GSM1051550.1607013450.hlink.GSM1051550_7800246087_R02C01","GSM1051550","GSE42861","Normal genomic DNA from sample 26","hm450k","other/NOS","F",62.987,"0.07","0.205","0.101","0.067","0.049","0.542",-3.35269549471516,-6.05618189446214
"GSM1051551.1607013450.hlink.GSM1051551_7800246087_R03C01","GSM1051551","GSE42861","Normal genomic DNA from sample 27","hm450k","other/NOS","F",67.651,"0.078","0.135","0.187","0.018","0.1","0.502",0.0180505682121108,-0.924928585087044
"GSM1051552.1607013450.hlink.GSM1051552_7800246087_R04C01","GSM1051552","GSE42861","Normal genomic DNA from sample 28","hm450k","other/NOS","F",61.094,"0.018","0.088","0.041","0.075","0.078","0.716",-8.68679707637078,-12.8690986304292
"GSM1051553.1607013450.hlink.GSM1051553_7800246087_R05C01","GSM1051553","GSE42861","Normal genomic DNA from sample 29","hm450k","other/NOS","F",66.149,"0.182","0.077","0.11","0.058","0.084","0.53",-11.5723508676987,1.48221979174936
"GSM1051555.1607013450.hlink.GSM1051555_7800246087_R01C02","GSM1051555","GSE42861","Normal genomic DNA from sample 31","hm450k","other/NOS","F",64.681,"0.099","0.109","0.088","0.079","0.104","0.537",-6.68103598694077,-1.45090337546751
"GSM1051556.1607013450.hlink.GSM1051556_7800246087_R02C02","GSM1051556","GSE42861","Normal genomic DNA from sample 32","hm450k","other/NOS","F",59.229,"0.082","0.268","0.078","0.094","0.057","0.437",-4.42546801023498,1.52417839256568
"GSM1051557.1607013450.hlink.GSM1051557_7800246087_R03C02","GSM1051557","GSE42861","Normal genomic DNA from sample 33","hm450k","other/NOS","F",57.179,"0.061","0.178","0.044","0.05","0.06","0.625",-5.60117456810816,-1.67147676512401
"GSM1051558.1607013450.hlink.GSM1051558_7800246087_R04C02","GSM1051558","GSE42861","Normal genomic DNA from sample 34","hm450k","other/NOS","F",29.898,"0.085","0.211","0.077","0.053","0.023","0.561",-15.2689731206276,-7.96970067099712
"GSM1051559.1607013450.hlink.GSM1051559_7800246087_R05C02","GSM1051559","GSE42861","Normal genomic DNA from sample 35","hm450k","other/NOS","F",63.269,"0.143","0.146","0.098","0.092","0.098","0.454",-12.6203935086339,7.52652379540675
"GSM1051560.1607013450.hlink.GSM1051560_7800246087_R06C02","GSM1051560","GSE42861","Normal genomic DNA from sample 36","hm450k","other/NOS","F",52.35,"0.057","0.085","0.016","0.077","0.08","0.705",-15.9010242617135,-23.1368184987034
"GSM1051561.1607013450.hlink.GSM1051561_7800246123_R01C01","GSM1051561","GSE42861","Normal genomic DNA from sample 37","hm450k","other/NOS","F",71.544,"0","0.133","0.051","0.061","0.067","0.709",-3.32008782237367,-10.9925672184475
"GSM1051562.1607013450.hlink.GSM1051562_7800246123_R02C01","GSM1051562","GSE42861","Normal genomic DNA from sample 38","hm450k","other/NOS","F",57.531,"0.021","0.146","0.124","0.035","0.041","0.646",-1.02480673947637,-9.0185704288291
"GSM1051563.1607013450.hlink.GSM1051563_7800246123_R03C01","GSM1051563","GSE42861","Normal genomic DNA from sample 39","hm450k","other/NOS","F",30.482,"0.191","0.08","0.103","0.063","0.069","0.521",-8.22442660673581,-1.02426087828548
"GSM1051564.1607013450.hlink.GSM1051564_7800246123_R04C01","GSM1051564","GSE42861","Normal genomic DNA from sample 40","hm450k","other/NOS","F",56.771,"0.079","0.087","0.119","0.04","0.057","0.637",1.58042456478688,-6.3572433123765
"GSM1051565.1607013450.hlink.GSM1051565_7800246123_R05C01","GSM1051565","GSE42861","Normal genomic DNA from sample 41","hm450k","other/NOS","F",51.167,"0.183","0.142","0.051","0.047","0.046","0.543",-14.3999753240591,1.36016658231711
"GSM1051566.1607013450.hlink.GSM1051566_7800246123_R06C01","GSM1051566","GSE42861","Normal genomic DNA from sample 42","hm450k","other/NOS","F",51.715,"0.084","0.168","0.048","0.047","0.046","0.624",-10.990764249448,-9.51327996162251
"GSM1051567.1607013450.hlink.GSM1051567_7800246123_R01C02","GSM1051567","GSE42861","Normal genomic DNA from sample 43","hm450k","other/NOS","F",40.76,"0.132","0.15","0.055","0.09","0.031","0.57",-6.07547801705688,0.0972400957052198
"GSM1051568.1607013450.hlink.GSM1051568_7800246123_R02C02","GSM1051568","GSE42861","Normal genomic DNA from sample 44","hm450k","other/NOS","F",46.329,"0.091","0.167","0.16","0.066","0.051","0.483",-15.1534070759718,-2.8377074571411
"GSM1051569.1607013450.hlink.GSM1051569_7800246123_R03C02","GSM1051569","GSE42861","Normal genomic DNA from sample 45","hm450k","other/NOS","F",32.529,"0.089","0.027","0.112","0.034","0.065","0.69",0.11806982299037,-6.96598459712198
"GSM1051570.1607013450.hlink.GSM1051570_7800246123_R04C02","GSM1051570","GSE42861","Normal genomic DNA from sample 46","hm450k","other/NOS","F",56.628,"0.064","0.152","0.082","0.035","0.059","0.627",1.25903386436315,-1.34528210816893
"GSM1051571.1607013450.hlink.GSM1051571_7800246123_R05C02","GSM1051571","GSE42861","Normal genomic DNA from sample 47","hm450k","other/NOS","F",31.04,"0.05","0.201","0.023","0.051","0.058","0.626",-16.0552549732697,-9.17278643906855
"GSM1051572.1607013450.hlink.GSM1051572_7800246123_R06C02","GSM1051572","GSE42861","Normal genomic DNA from sample 48","hm450k","other/NOS","F",68.163,"0.203","0.182","0.098","0.089","0.034","0.416",-15.8013105905476,8.27241968356641
"GSM1051573.1607013450.hlink.GSM1051573_7800246132_R01C01","GSM1051573","GSE42861","Normal genomic DNA from sample 49","hm450k","other/NOS","F",49.452,"0.005","0.098","0.111","0.04","0.088","0.663",0.77595316524179,-5.04337752789298
"GSM1051574.1607013450.hlink.GSM1051574_7800246132_R02C01","GSM1051574","GSE42861","Normal genomic DNA from sample 50","hm450k","other/NOS","F",53.458,"0.059","0.151","0.047","0.063","0.032","0.653",-5.9636191660278,-1.00194134932447
"GSM1051575.1607013450.hlink.GSM1051575_7800246132_R04C01","GSM1051575","GSE42861","Normal genomic DNA from sample 51","hm450k","other/NOS","F",57.22,"0.092","0.119","0.114","0.041","0.056","0.6",-3.29320809460501,0.879203071006026
"GSM1051576.1607013450.hlink.GSM1051576_7800246132_R05C01","GSM1051576","GSE42861","Normal genomic DNA from sample 52","hm450k","other/NOS","F",44.016,"0.091","0.095","0.057","0.047","0.046","0.679",3.4027601700516,-8.50308249035132
"GSM1051577.1607013450.hlink.GSM1051577_7800246132_R06C01","GSM1051577","GSE42861","Normal genomic DNA from sample 53","hm450k","other/NOS","F",55.516,"0.066","0.084","0.048","0.058","0.067","0.693",12.6470592329283,-11.2203952615
"GSM1051578.1607013450.hlink.GSM1051578_7800246132_R01C02","GSM1051578","GSE42861","Normal genomic DNA from sample 54","hm450k","other/NOS","F",60.294,"0.058","0.216","0.043","0.074","0.036","0.582",0.893929258085024,1.77231291788615
"GSM1051579.1607013450.hlink.GSM1051579_7800246132_R02C02","GSM1051579","GSE42861","Normal genomic DNA from sample 55","hm450k","other/NOS","F",52.84,"0.079","0.068","0.075","0.038","0.05","0.693",5.96564879993133,0.103048900464308
"GSM1051580.1607013450.hlink.GSM1051580_7800246132_R03C02","GSM1051580","GSE42861","Normal genomic DNA from sample 56","hm450k","other/NOS","F",66.287,"0.043","0.133","0.057","0.075","0.031","0.674",-2.85335433830196,-1.41100528266732
"GSM1051581.1607013450.hlink.GSM1051581_7800246132_R04C02","GSM1051581","GSE42861","Normal genomic DNA from sample 57","hm450k","other/NOS","F",63.356,"0.066","0.194","0.169","0.038","0.044","0.506",4.58835736746687,4.07898891964386
"GSM1051582.1607013450.hlink.GSM1051582_7800246132_R05C02","GSM1051582","GSE42861","Normal genomic DNA from sample 58","hm450k","other/NOS","F",53.483,"0.051","0.079","0.145","0.04","0.051","0.652",1.32096655605649,-3.77340507845996
"GSM1051583.1607013450.hlink.GSM1051583_7800246132_R06C02","GSM1051583","GSE42861","Normal genomic DNA from sample 59","hm450k","other/NOS","F",61.117,"0.103","0.14","0.165","0.052","0.035","0.529",-1.14429531357276,-0.154076321865302
