cgid,is.inoshita.2015.dmp,is.pbmc.dmp,is.whole.blood.dmp,ttest.pvalue.pbmc,ttest.pvalue.whole.blood,dnam.direction.inoshita.2015.dmp,dnam.direction.pbmc.dmp,dnam.direction.whole.blood.dmp,relation.to.island,ucsc.gene.names,ucsc.gene.groups,ucsc.gene.acc
cg04946709,TRUE,TRUE,TRUE,2.69e-114,3.07e-185,0.17,0.107,0.036,Island,LOC644649,Body,NR_028471
cg26355737,TRUE,TRUE,TRUE,6.13e-114,6.59e-297,0.05,0.045,0.017,N_Shore,TFDP1;TFDP1,Body;Body,NR_026580;NM_007111
cg17232883,TRUE,TRUE,TRUE,8.31e-111,8.96e-253,-0.08,-0.05,-0.021,OpenSea,"","",""
cg06759085,FALSE,TRUE,TRUE,3.11e-107,1.16e-187,0,0.046,0.019,OpenSea,NAB1,3'UTR,NM_005966
cg08906898,TRUE,TRUE,TRUE,2.9e-105,2.37e-177,0.04,0.044,0.012,OpenSea,RBM39;RBM39,Body;Body,NM_004902;NM_184234
cg04737881,FALSE,TRUE,TRUE,5.53e-105,4.63e-306,0,-0.128,-0.059,N_Shore,MGC45800,Body,NR_027107
cg13180105,TRUE,TRUE,FALSE,3.44e-99,0,0.08,0.047,0,S_Shelf,"","",""
cg17238319,TRUE,TRUE,TRUE,3.37e-98,5.65e-257,-0.13,-0.093,-0.048,OpenSea,RFTN1,Body,NM_015150
cg11388673,FALSE,TRUE,TRUE,2.39e-93,6.32e-190,0,0.139,0.063,Island,"","",""
cg03894796,FALSE,TRUE,TRUE,4.8e-92,4.27e-152,0,0.11,0.03,Island,"","",""
cg11643285,FALSE,TRUE,TRUE,1.38e-90,0e+00,0,-0.125,-0.063,OpenSea,RFTN1,Body,NM_015150
cg13323902,TRUE,TRUE,TRUE,5.06e-90,1.81e-162,-0.05,-0.047,-0.024,OpenSea,VTRNA1-1,TSS200,NR_026703
cg04858776,TRUE,TRUE,TRUE,1.5e-89,1.2e-133,-0.11,-0.075,-0.027,OpenSea,"","",""
cg12691488,TRUE,TRUE,TRUE,2.36e-89,0e+00,0.18,0.136,0.06,Island,"","",""
cg20299935,TRUE,TRUE,TRUE,3.23e-88,0e+00,-0.1,-0.089,-0.046,OpenSea,"","",""
cg21148594,TRUE,TRUE,TRUE,2.11e-83,2.75e-197,0.07,0.087,0.027,OpenSea,"","",""
cg16945633,FALSE,TRUE,FALSE,1.22e-81,0,0,0.032,0,S_Shore,"","",""
cg10507304,FALSE,TRUE,TRUE,6.59e-79,7.93e-102,0,0.069,0.021,OpenSea,"","",""
cg21216562,FALSE,TRUE,FALSE,2e-78,0,0,0.036,0,S_Shelf,GRIN1;GRIN1;GRIN1,Body;Body;Body,NM_000832;NM_007327;NM_021569
cg15254881,FALSE,TRUE,TRUE,8.74e-78,3.13e-319,0,-0.071,-0.031,N_Shore,GRM8,5'UTR,NM_001127323
ch.6.149019574R,FALSE,TRUE,FALSE,6.49e-76,0,0,-0.013,0,OpenSea,"","",""
