cgid,is.haftorn.2021.dmp,is.merid.2020.dmp,is.cord.blood.dmp,cord.blood.ttests.padjusted,cord.blood.ttest.pnominal,cord.blood.ttest.tvalue,cord.blood.ttest.std.err,cord.blood.ttest.estimate,relation.to.island,ucsc.gene.names,ucsc.gene.groups,ucsc.gene.acc
cg25144135,FALSE,TRUE,TRUE,0.00000729,2.25e-11,-7.106,0.009,-0.066,N_Shore,"","",""
cg02953397,FALSE,TRUE,TRUE,0.00000306,9.44e-12,-7.257,0.012,-0.086,N_Shelf,ACAP3,Body,NM_030649
cg18565510,FALSE,TRUE,TRUE,0.0304,9.37e-08,-5.549,0.008,-0.043,N_Shelf,ACAP3,Body,NM_030649
cg20429981,FALSE,TRUE,TRUE,0.000376,1.16e-09,-6.398,0.01,-0.063,S_Shore,CDK11B;CDK11B;CDK11B;CDK11B;CDK11B;LOC728661;CDK11B,Body;Body;Body;Body;Body;5'UTR;5'UTR,NM_033493;NM_033489;NM_033486;NM_033488;NM_033492;NM_001110781;NM_033487
cg24295985,FALSE,TRUE,TRUE,0.000204,6.3e-10,-6.511,0.004,-0.028,N_Shelf,PLCH2,Body,NM_014638
cg00153101,FALSE,TRUE,TRUE,0.0000537,1.66e-10,-6.753,0.011,-0.074,N_Shore,PLCH2,Body,NM_014638
cg12443001,FALSE,TRUE,TRUE,0.0111,3.43e-08,5.751,0.006,0.033,S_Shore,"","",""
cg05804170,FALSE,TRUE,TRUE,7.91e-08,2.44e-13,7.873,0.016,0.129,OpenSea,PRDM16;PRDM16,Body;Body,NM_022114;NM_199454
cg12408250,FALSE,FALSE,TRUE,0.0000678,2.09e-10,6.711,0.011,0.071,OpenSea,PRDM16;PRDM16,Body;Body,NM_022114;NM_199454
cg17133774,FALSE,TRUE,TRUE,1.77e-09,5.45e-15,-8.49,0.014,-0.116,N_Shelf,CHD5,Body,NM_015557
cg21220721,FALSE,FALSE,TRUE,0.0115,3.56e-08,-5.744,0.017,-0.098,Island,ACOT7;ACOT7;ACOT7;ACOT7,Body;Body;Body;Body,NM_181864;NM_181865;NM_007274;NM_181866
cg23889047,FALSE,TRUE,TRUE,0.0239,7.37e-08,-5.598,0.009,-0.05,OpenSea,CAMTA1,Body,NM_015215
cg16057915,FALSE,TRUE,TRUE,0.000767,2.37e-09,-6.266,0.021,-0.128,OpenSea,PEX14,3'UTR,NM_004565
cg07357157,FALSE,TRUE,TRUE,0.0217,6.69e-08,-5.618,0.017,-0.093,OpenSea,PEX14,3'UTR,NM_004565
